,,Fission Density,FD std dev,Relative unc.,Fission Density_bu_1,FD std dev_bu_1,Relative unc._bu_1,Fission Density_bu_30,FD std dev_bu_30,Relative unc._bu_30,Fission Density_bu_70,FD std dev_bu_70,Relative unc._bu_70,Fission Density_bu_160,FD std dev_bu_160,Relative unc._bu_160
6T,1,1.2649830567354197,0.0017040318362950896,0.0013470787827725822,1.2643424001567811,0.0019879354889515677,0.0015723078564042932,1.2655203791242406,0.0019109919374691894,0.001510044380945983,1.2659247347103395,0.001868863299301184,0.0014762831059848154,1.264408013525356,0.001975148635224317,0.001562113347982754
6T,2,1.0106083107320485,0.0015959973936212509,0.0015792442795816385,1.0104211088420134,0.0016123792933383512,0.0015957498108746045,1.0112458332177854,0.0016584241250073733,0.0016399811702860279,1.0124022900509348,0.0015374711836587875,0.0015186366119158384,1.011522380848373,0.001601133616362616,0.0015828948984991616
6T,3,0.4887192325082115,0.0008734297588030957,0.001787181065742937,0.4902439048537289,0.0007232389546085648,0.0014752635319848662,0.4882114841813121,0.0008315350355182778,0.0017032271105066061,0.4907695922727401,0.0006771887024401419,0.0013798505716381086,0.4898653833065312,0.0008362582535545826,0.0017071184902063133
6T,4,1.0062185690317595,0.0015798460258755022,0.0015700823603322282,1.0086241421379505,0.0015375646592257813,0.0015244178628985136,1.0081595747043617,0.001648225359073732,0.0016348853896041872,1.0099390898040894,0.0015141824694267596,0.0014992809811139051,1.0088518852640218,0.0015066549379923215,0.001493435220768827
6T,5,1.2542471863537037,0.0020196432442841977,0.001610243392417425,1.254546315413995,0.0016484567703176104,0.0013139863790310735,1.2576631934071685,0.0019046576001627183,0.0015144417123337773,1.257675995596684,0.0019015825458112558,0.0015119812674082892,1.255736406309243,0.00184712281075447,0.0014709478848219278
6B,1,1.332378610174073,0.0020652705782035928,0.0015500628443245335,1.3349828867938875,0.0019418237081927398,0.0014545682400890169,1.3358099097391227,0.0020730323450216053,0.0015518917249434533,1.3323296160793612,0.0017379996284304,0.0013044817194297622,1.3157760261859053,0.0019041964341410386,0.0014472040805157485
6B,2,1.0649975462283974,0.0017107848103728046,0.0016063744150692275,1.0681810235230949,0.0016623481150754569,0.0015562419463254163,1.0696127258500945,0.0016571874975589136,0.0015493341258087908,1.06679788205898,0.001575888182203368,0.0014772134522444075,1.0563652086379554,0.0015861622582446439,0.0015015283022145273
6B,3,0.5169402833225824,0.0008502834974681959,0.0016448389202773734,0.5167273826452867,0.0008503139094490764,0.0016455754775294804,0.5178100571976951,0.0008228895238624308,0.0015891725400541208,0.5164815953008352,0.000755317442951323,0.0014624285740741122,0.5119916840481339,0.0008105510338268853,0.0015831332013405955
6B,4,1.0643293075328362,0.0016693469675337375,0.0015684496853735615,1.0654414327950574,0.0015990738593555415,0.0015008557111962162,1.0666569838242284,0.0017256528642742568,0.001617814246232529,1.0638886038086532,0.0015822179353889873,0.001487202635430766,1.055269412378666,0.0015492802499427875,0.0014681371711993238
6B,5,1.3265661062563567,0.0017782736397785473,0.001340508875804866,1.3279229237348158,0.0018935992356212915,0.0014259858021695242,1.3303790733837657,0.002169632259336648,0.0016308376332305613,1.3278688027003558,0.002217845028520834,0.001670229034683714,1.3118807679792577,0.0017901687875645066,0.00136458192791558
